playlist_id,track_id
7,12493
7,17495
7,13424
7,7109
7,14714
7,15650
7,15740
7,159
7,19243
7,17920
7,6620
7,1063
7,13808
7,20023
7,5893
7,3483
7,1775
7,7660
7,7478
7,5649
7,1461
7,18190
7,2494
7,16890
7,2204
7,12393
7,18418
7,13640
7,8869
7,13359
7,15296
7,17114
7,3767
7,5668
7,15640
25,13805
25,7035
25,2336
25,16663
25,4720
25,19967
25,12384
25,14635
25,11112
25,5630
25,19390
25,20500
25,460
25,0
25,13637
25,4910
25,89
29,17056
29,16912
29,14907
29,4148
29,15430
29,4543
29,16387
29,20366
29,17200
29,4366
29,19814
29,8356
29,2472
29,8169
29,4743
29,11258
29,4916
29,7645
29,9003
29,6606
29,18669
29,18904
29,13364
34,16759
34,9266
34,13302
34,18536
34,8248
34,523
34,11656
34,14694
34,9458
34,15865
34,7185
34,4925
34,16765
34,13446
34,5263
34,16563
34,19296
34,8456
34,10001
34,15527
34,13518
34,9198
34,1553
34,17371
34,3753
34,6707
34,19541
34,10992
34,18661
34,14579
50,14417
50,19813
50,5281
50,6245
50,2388
50,13452
50,153
50,18159
50,412
50,10496
50,13757
52,9645
52,18763
52,2090
52,4184
52,14258
52,1232
52,10930
52,9530
52,16970
52,4812
52,18059
52,7131
52,9436
52,8885
52,6529
52,14345
52,1710
52,16297
52,3129
52,20365
60,18377
60,4757
60,4640
60,14671
60,20491
60,12550
60,3855
60,3750
60,10682
60,12972
60,6098
64,2595
64,16869
64,3287
64,16815
64,14358
64,15622
64,3646
64,11676
64,7341
64,3564
64,4271
64,519
64,20143
64,672
64,10746
77,12393
77,11483
77,17114
77,12910
77,10833
77,10137
77,308
77,7989
77,16385
77,1063
77,19243
77,18191
77,4492
77,5649
77,15908
77,16673
77,10013
77,17239
77,12599
77,17826
77,15770
77,13640
77,1023
77,19926
77,14796
77,14732
77,603
77,18804
77,11886
77,15935
77,4189
77,9337
77,12943
77,18090
77,10834
77,10496
77,17524
80,9168
80,13987
80,10454
80,17438
80,6465
80,19399
80,11063
80,15327
80,5683
80,3503
80,9067
80,9086
80,12173
80,17764
80,10841
80,6283
80,15312
80,16585
80,9060
80,13358
80,9961
80,18289
80,6
106,4482
106,15259
106,20197
106,2272
106,13216
106,16454
106,6214
106,12488
106,19009
106,20359
106,6489
106,11369
106,13595
106,260
138,9834
138,12766
138,17283
138,15704
138,11789
138,20501
138,8971
138,8474
138,18055
138,9619
138,1860
138,8031
138,7173
138,5012
138,12897
138,20380
138,4370
138,20533
138,20170
138,663
138,9499
138,4683
138,14147
138,9486
138,6575
138,17062
138,17081
138,3831
138,8922
138,19154
138,20238
138,12600
138,13063
138,9940
138,13107
138,16058
138,14262
138,14631
138,13939
138,19969
138,11688
138,11503
138,15455
138,14755
138,20223
138,8079
138,12175
138,10584
143,8145
143,7817
143,3074
143,7751
143,3965
143,18428
143,4288
143,10024
143,5141
143,10711
143,1189
143,4949
143,16502
143,3976
143,20515
143,7479
143,11502
143,12488
143,19377
143,10848
143,411
143,12651
143,2497
143,6254
143,17762
143,14338
143,8852
143,14322
143,2919
143,5622
143,315
143,20548
143,10922
143,15771
143,16182
143,2243
143,2705
143,9942
143,3109
143,13256
143,18600
143,225
143,460
143,15869
143,19164
149,19662
149,13237
149,8560
149,8956
149,14395
149,8229
149,4444
149,4460
149,12563
149,17597
149,16236
149,6294
149,4809
149,16517
149,6981
149,15578
149,6000
149,7796
149,8066
169,8500
169,15159
169,16311
169,1012
169,11635
169,10238
169,12929
169,11547
169,5971
169,19776
169,13592
180,8437
180,14659
180,1951
180,9440
180,20408
180,19878
180,7577
180,17715
180,15558
180,11070
180,18074
180,20461
180,3093
180,15935
180,11963
180,17226
180,17947
180,11740
180,2980
180,5881
180,4910
180,13833
180,16862
180,797
180,10269
180,8866
180,15542
180,1163
180,17568
180,5576
180,13368
180,7150
180,8749
180,14826
180,6823
180,12765
180,13624
180,17309
180,13435
180,10833
180,4321
180,3129
180,1473
180,11842
210,2132
210,2980
210,5023
210,10691
210,9623
210,9457
210,9804
210,13622
210,14255
210,10339
210,18875
210,16331
231,12769
231,12688
231,19890
231,10491
231,15447
231,14193
231,4089
231,7039
231,17897
231,19169
231,16930
231,17309
231,17586
231,12783
231,20167
231,6664
241,1580
241,4510
241,688
241,15781
241,1900
241,5739
241,4839
241,1056
241,14295
241,11956
241,2175
241,10013
241,5881
241,11614
241,15511
241,13622
241,1020
241,10139
241,10742
241,12721
241,4834
241,5630
241,1656
241,7077
241,14378
241,1587
241,16866
241,3551
244,13980
244,573
244,1746
244,5903
244,14527
244,2439
244,11490
244,12923
244,12298
244,17174
244,11366
244,3729
244,19628
244,12261
244,7765
244,8956
244,6253
244,13101
244,18637
244,5224
244,7009
244,5881
244,15373
244,14591
244,3885
244,18381
244,9105
244,18649
256,4451
256,8218
256,8415
256,7544
256,2730
256,11489
256,1944
256,8725
256,1949
256,20544
256,8932
256,13819
256,8355
256,18475
256,12972
256,9900
256,3445
258,18728
258,20018
258,15570
258,2511
258,13237
258,11119
258,8956
258,5903
258,13980
258,3729
258,1534
258,18637
258,17096
258,5881
258,15670
258,3539
258,19734
265,15640
265,6589
265,7421
265,11877
265,18262
265,7025
265,2665
265,19364
265,7748
265,15617
265,12610
265,12618
265,7515
265,9259
265,2008
265,9457
265,1290
